	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
194425	Fruits and vegetables	Vegetables	9.090909090909093	a	8.8	1.0	8.243243243243244	2.0	0.1	0.2	7.0	3.8
194426	Fruits and vegetables	Fruits	16.363636363636367	a	16.0	0.3	9.72972972972973	16.0	0.0	0.0039370078740157	6.7	1.4
194428			10.90909090909091	a			3.837837837837838	0.0	0.1	0.196850393700787	5.2	2.3
194429	Cereals and potatoes	Legumes	14.545454545454547	a	27.4	2.4	35.78378378378378	2.6	0.4	0.0118110236220472		22.4
194431	Cereals and potatoes	Legumes	16.363636363636367	a	53.0	0.8	39.351351351351354	2.2	0.2	0.0078740157480315	19.5	21.7
194432	Cereals and potatoes	Cereals	16.363636363636367	a	64.0	6.1	41.5945945945946	1.0	0.7	0.0039370078740157		14.0
194438			14.545454545454547	a			33.91891891891892	4.3	1.0	0.0393700787401575	26.0	30.0
194439			21.81818181818182	a			9.945945945945947	0.0	0.3	0.1	0.0	18.1
194445			23.636363636363637	a	5.4	0.8	1.810810810810811	0.0	0.1	0.4	5.3	2.1
194448			21.81818181818182	a			1.7297297297297298	0.0	0.18	0.85	3.8	3.9
194449	Fruits and vegetables	Vegetables	20.0	a	0.0	0.5	1.7297297297297298	0.0	0.18	0.34		3.9
194452	Fruits and vegetables	Vegetables	27.272727272727273	b	1.4	0.2	1.7027027027027029	0.0	0.02	0.216535433070866	1.9	1.0
194453	Fruits and vegetables	Vegetables	32.72727272727273	c	2.1	0.3	1.864864864864865	0.3	0.03	0.34	0.5	1.2
194460	Fruits and vegetables	Vegetables	23.636363636363637	a	2.05	0.425	1.7364864864864866	0.0	0.08	0.290551181102362	3.225	2.0
194465	Cereals and potatoes	Cereals				2.4						
194467	Fruits and vegetables	Vegetables	18.181818181818183	a	3.0	0.2	2.9189189189189193	0.8	0.0	0.295275590551181	2.8	1.6
194471			9.090909090909093	a			9.945945945945947	3.7	0.2	0.208661417322835	6.1	5.8
194473	Fruits and vegetables	Vegetables	18.181818181818183	a	12.0	0.2	6.756756756756757	0.3	0.0	0.216535433070866	2.1	1.3
194475	Fruits and vegetables	Vegetables	9.090909090909093	a			9.864864864864865	1.7	0.0	0.236220472440945	4.5	5.8
194476	Cereals and potatoes	Cereals	12.727272727272728	a	12.0	2.4	10.081081081081082	4.9	0.5	0.169291338582677	3.8	2.9
194508			29.09090909090909	b			12.27027027027027	1.5	1.3	0.429	0.7	13.5
194509			23.636363636363637	a			14.162162162162163	1.4	2.4	0.433070866141732	3.8	7.0
194510			30.90909090909091	b			15.540540540540542	1.7	3.3	0.433	1.4	11.4
194519			27.272727272727273	b			16.91891891891892	0.4	2.88	0.354330708661417	10.4	3.1
194520	Composite foods	One dish meals	21.81818181818182	a	6.8	6.1	14.081081081081082	0.4	2.2	0.437007874015748	3.9	8.7
194521	Composite foods	One dish meals	23.636363636363637	a	6.9	8.2	16.18918918918919	0.4	3.2	0.374015748031496		8.7
194523			25.454545454545457	a			15.72972972972973	0.5	2.3	0.47244094488189	2.9	11.0
194577			63.63636363636363	e			59.513513513513516	39.0	15.9	0.1	4.0	5.0
194586					66.0	21.3	54.94594594594595	40.2	12.1		3.9	5.3
194587			70.9090909090909	e			53.94594594594595	46.8	10.3	0.15	1.9	5.1
194594			72.72727272727272	e		19.3	54.86486486486487	47.8	10.8	0.14	2.1	5.9
194597			63.63636363636363	e	66.0	21.3	54.94594594594595	40.2	12.1	0.12		5.3
